name,id
Carolco Pictures,14723
Carolco International N.V.,80461
Touchstone Pictures,9195
Universal Pictures,33
Dentsu,6452
Relativity Media,7295
"Kennedy/Marshall Company, The",7383
Captivate Entertainment,25716
PolyGram Filmed Entertainment,1382
Warner Bros.,6194
Imagine Entertainment,23
Universal Pictures,33
Lions Gate Films,35
Twentieth Century Fox Film Corporation,306
Centropolis Entertainment,347
Mark Gordon Productions,11362
Mel's Cite du Cinema,54502
Paramount Pictures,4
Cruise/Wagner Productions,44
Munich Film Partners & Company (MFP) MI2 Productions,51199
Warner Bros.,6194
Baltimore Spring Creek Productions,16061
Radiant Productions,18990
Ingenious Film Partners,289
Twentieth Century Fox Film Corporation,306
1492 Pictures,436
Dune Entertainment,444
Constantin Film Produktion,5755
Bernd Eichinger Productions,10881
Marvel Enterprises,19551
Ingenious Film Partners,289
Ingenious Media,290
Dune Entertainment,444
Fox 2000 Pictures,711
Big Screen Productions,10893
Haishang Films,13480
Columbia Pictures Corporation,441
Relativity Media,7295
Michael De Luca Productions,11370
Marvel Enterprises,19551
Crystal Sky Pictures,20241
GH One,20475
Vengeance Productions Pty. Ltd.,20476
The Kennedy/Marshall Company,862
Captivate Entertainment,25716
Pearl Street Films,29313
Double Negative,31922
Perfect World (Beijing) Pictures Co.,83871
Columbia Pictures,5
Wonderland Sound and Vision,4022
Tall Trees Productions,10239
Flower Films (II),19813
Twentieth Century Fox Film Corporation,306
Dune Entertainment,444
Scott Free Productions,1645
Brandywine Productions,19747
Columbia Pictures,5
Sony Pictures Entertainment,5752
TriStar Pictures,559
Media Rights Capital,2531
Sony Pictures Entertainment (SPE),7431
QED International,11029
Alpha Core,18209
Genre Films,28788
Simon Kinberg Productions,31076
One Race Films,7154
Radar Pictures,14718
Columbia Pictures,5
Strike Entertainment,655
Metro-Goldwyn-Mayer (MGM),8411
Village Roadshow Pictures,79
Studio Babelsberg,264
Anarchos Productions,450
Silver Pictures,1885
Warner Bros.,6194
Velocity Productions,12170
Columbia Pictures,5
Gracie Films,18
Road Rebel,2648
Tree Line Films,84
Twentieth Century Fox Film Corporation,306
Dune Entertainment,444
Regency Enterprises,508
Pink Machine,21845
Universal Pictures,33
Chernin Entertainment,7076
Relativity Media,7295
Monolith Pictures (III),19647
Radical Studios,19648
Lucasfilm,1
Lucasfilm,1
Walt Disney Pictures,2
Pixar Animation Studios,3
Twentieth Century Fox Film Corporation,306
Donners' Company,431
Marvel Entertainment,7505
Bad Hat Harry Productions,9168
Big Screen Productions,10893
TSG Entertainment,22213
Lucasfilm,1
DreamWorks Animation,521
Constantin Film,47
TF1 Films Productions,356
Pathé Renn Productions,866
La Petite Reine,1992
Tri Pictures,1994
Sorolla Films,1995
Novo RPI,1996
Canal+,5358
uFilm,8676
Canal+ España,9335
Le Tax Shelter du Gouvernement Fédéral de Belgique,11921
Les Editions Albert René,20409
Lion Rock Productions,2812
Metro-Goldwyn-Mayer (MGM),8411
Universal Pictures,33
Perfect World Pictures,10338
Roth Films,16314
Paramount Pictures,4
Nickelodeon Movies,2348
Platinum Dunes,2481
Warner Bros.,6194
Heyday Films,7364
Esperanto Filmoj,7470
Universal Pictures,33
Pacific Western,1280
Paramount Pictures,4
Nickelodeon Movies,2348
Platinum Dunes,2481
5150 Action,47354
Gama Entertainment Partners,77208
Twentieth Century Fox Film Corporation,306
Marv Films,5374
Marvel Entertainment,7505
Constantin Film.,9078
Moving Picture Company (MPC),20478
TSG Entertainment,22213
Genre Films,28788
Ingenious Film Partners,289
Twentieth Century Fox Film Corporation,306
1492 Pictures,436
21 Laps Entertainment,2575
New Line Cinema,12
Village Roadshow Pictures,79
Warner Bros.,6194
Flynn Picture Company,34081
Eon Productions,7576
Centropolis Entertainment,347
Columbia Pictures Corporation,441
Mutual Film Company,762
Global Entertainment Productions GmbH & Company Medien KG,9269
Village Roadshow Pictures,79
Section Eight,129
Jerry Weintraub Productions,2596
Warner Bros.,6194
WV Films III,12202
Weed Road Pictures,433
Summit Entertainment,491
Regency Enterprises,508
Epsilon Motion Pictures,1171
New Regency Pictures,10104
Summit Entertainment,491
Mandeville Films,10227
Red Wagon Entertainment,14440
NeoReel,24097
Miramax Films,14
Appian Way,562
Forward Pass,675
Cappa Productions,691
Warner Bros.,6194
Initial Entertainment Group (IEG),7380
IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG,19116
Mel's Cite du Cinema,54502
Twentieth Century Fox Film Corporation,306
Dune Entertainment,444
Davis Entertainment,1302
Dune Entertainment III,6332
Original Film,333
Sony Pictures Entertainment,5752
Reliance BIG Entertainment,6733
Legendary Pictures,923
Hollywood Gang Productions,2994
Atmosphere Entertainment MM,2995
Warner Bros.,6194
Nimar Studios,7636
Cruel and Unusual Films,78685
Columbia Pictures,5
Sony Pictures Animation,2251
Kerner Entertainment Company,7311
Walt Disney Pictures,2
Summit Entertainment,491
Lionsgate,1632
Mandeville Films,10227
Red Wagon Entertainment,14440
DreamWorks SKG,27
21 Laps Entertainment,2575
Reliance Entertainment,7294
Touchstone Pictures,9195
ImageMovers,11395
Angry Films,12087
Revolution Sun Studios,76043
Kontsept Film Company,76067
Wardour Street Pictures,76069
Columbia Pictures,5
Sony Pictures Animation,2251
Kerner Entertainment Company,7311
Hemisphere Media Capital,9169
NeoReel,24097
Twentieth Century Fox Film Corporation,306
Blue Tulip Productions,35304
Summit Entertainment,491
Chartoff Productions,3200
Odd Lot Entertainment,3263
K/O Paper Products,7296
Digital Domain,31825
Taleswapper,31826
Ingenious Film Partners,289
Twentieth Century Fox Film Corporation,306
Dune Entertainment,444
Cheyenne Enterprises,890
Wintergreen Productions,11845
WingNut Films,11
New Line Cinema,12
The Saul Zaentz Company,5237
Studio Babelsberg,264
Walden Media,10221
Babelsberg Film,19481
Mostow/Lieberman Productions,23636
80 Days Productions,53413
Spanknyce Films,53414
Fitzwilliam Productions,53416
Columbia Pictures Corporation,441
Imagine Entertainment,23
DreamWorks SKG,27
Universal Pictures,33
Twentieth Century Fox Film Corporation,306
Laurence Mark Productions,415
Davis Entertainment,1302
Overbrook Entertainment,12485
Mediastream Vierte Film GmbH & Co. Vermarktungs KG,19354
Canlaws Productions,19355
Studio Babelsberg,264
Twentieth Century Fox Film Corporation,306
Scott Free Productions,1645
Kanzaman,4169
Dune Films,19477
BK,19478
KOH,19479
Reino del Cielo,19480
Inside Track 3,19482
Calle Cruzada,19483
Columbia Pictures Corporation,441
Global Medien KG,5555
Franklin/Waterman Productions,58331
Walt Disney Pictures,2
Walt Disney Animation Studios,6125
Twentieth Century Fox Film Corporation,306
Scott Free Productions,1645
Mid Atlantic Films,2735
International Traders,6408
TSG Entertainment,22213
Genre Films,28788
DreamWorks SKG,27
Warner Bros.,6194
Parkes/MacDonald Productions,11084
New Line Cinema,12
Jerry Bruckheimer Films,130
Touchstone Pictures,9195
DreamWorks SKG,27
Universal Pictures,33
Scott Free Productions,1645
Red Wagon Entertainment,14440
Mill Film,21904
C & L,21905
Dawliz,21906
DreamWorks SKG,27
Cruise/Wagner Productions,44
Amblin Entertainment,56
Twentieth Century Fox Film Corporation,306
Blue Tulip Productions,766
Ronald Shusett/Gary Goldman,26265
Digital Image Associates,76068
1492 Pictures,436
Heyday films,437
Warner Bros.,6194
Eon Productions,7576
Stillking Films,11345
Babelsberg Film,19481
Twentieth Century Fox Film Corporation,306
Tim Burton Productions,8601
"Zanuck Company, The",20004
Lightstorm Entertainment,574
Pacific Western,1280
Canal+,5358
Carolco Pictures,14723
T2 Productions,61409
Universal Pictures,33
Appian Way,562
Forward Pass,675
Dentsu,6452
Relativity Media,7295
Tribeca Productions,11391
Misher Films,11581
Imagine Entertainment,23
Universal Pictures,33
Scott Free Productions,1645
Relativity Media,7295
Film Rites,8083
Twentieth Century Fox Film Corporation,306
Lightstorm Entertainment,574
Columbia Pictures,5
Escape Artists,1423
Scott Free Productions,1645
Relativity Media,7295
Metro-Goldwyn-Mayer (MGM),8411
Paramount Pictures,4
Universal Pictures,33
Everyman Pictures,2242
Relativity Media,7295
Dreamworks Pictures,7852
Tribeca Productions,11391
Columbia Pictures,5
Gary Sanchez Productions,4740
Kopelson Entertainment,824
Warner Bros.,6194
Columbia Pictures,5
The Weinstein Company,308
